State,Year,State_Year,Gender,Leading_Cancer_Sites,Incidence_Counts,Incidence_Age_Adjusted_Rate,Death_Counts,Mortality_Age_Adjusted_Rate,Mortality_Incidence_Age_Adjusted_Rate_Ratio,Population,%_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,%_Low_birthweight,%_Adult_smoking,%_Adults_with_Obesity,%_Physically_Inactive,%_Excessive_Drinking,%_Uninsured,Primary_Care_Physicians_Rate,Mental_Health_Provider_Rate,%_With_Annual_Mammogram,%_Unemployed,%_Children_in_Poverty,Average_Daily_PM2.5,%_Severe_Housing_Problems,%_Adults_with_Diabetes,Median_Household_Income,%_Less_Than_18_Years_of_Age,%_65_and_Over,%_Black,%_American_Indian_&_Alaska_Native,%_Asian,%_Native_Hawaiian/Other_Pacific_Islander,%_Hispanic,%_Non_Hispanic_White,%_Female,%_Rural,Region
Alaska,2015,Alaska2015,Male,Prostate,261,70.44,35,13.99,0.199,386716,15.72,3.88,3.24,5.58,23.39,30.76,22.86,21.11,26.62,80.64,321.74,52.63,10.19,19.19,8.565506445672192,27.48,9.73,60290,24.74,9.98,1.9,33.13,5.99,0.58,4.95,47.48,45.59,74.75,West
Alaska,2016,Alaska2016,Male,Prostate,376,98.08,43,18.84,0.192,388632,16.05,3.91,3.5,5.7,21.37,31.34,21.45,20.74,24.28,80.27,368.31,51.52,8.58,18.39,8.565506445672192,27.37,7.04,62765,24.29,10.11,2.08,31.1,7.06,0.7,5.6,47.41,45.31,70.36,West
Alaska,2017,Alaska2017,Male,Prostate,364,96.39,39,17.0,0.176,386986,17.49,4.07,3.64,5.75,22.55,31.85,22.39,20.78,22.0,85.6,347.95,50.17,19.46,18.75,27.69,27.69,7.6,62153,24.15,11.2,1.76,32.27,6.37,0.58,5.2,47.87,46.02,70.36,West
Alaska,2018,Alaska2018,Male,Prostate,415,103.81,48,20.05,0.193,384304,17.49,4.07,3.64,5.68,22.55,32.71,20.88,20.78,20.65,90.95,386.87,31.19,9.34,19.11,8.565506445672192,27.41,8.22,62985,23.86,12.69,1.77,32.27,6.38,0.64,5.38,47.73,45.97,70.36,West
Alaska,2019,Alaska2019,Male,Prostate,432,104.39,65,24.23,0.232,382813,18.08,4.03,3.9,5.86,21.01,32.5,20.0,21.29,14.76,90.97,432.71,35.0,6.59,14.5,8.565506445672192,20.52,7.9,74912,24.93,11.8,3.37,15.39,6.65,1.39,7.23,60.26,47.85,33.98,West
Alaska,2020,Alaska2020,Male,Prostate,386,92.55,49,17.54,0.189,381537,15.57,4.06,3.72,5.95,18.55,31.9,19.3,17.61,13.91,93.57,499.63,35.0,6.14,13.2,6.45,20.49,8.3,77203,24.6,12.52,3.31,15.58,6.53,1.44,7.27,60.16,47.86,33.98,West
Arizona,2010,Arizona2010,Male,Prostate,3466,99.79,558,19.22,0.193,3184011,17.75,3.85,3.61,7.15,19.09,26.07,24.19,16.49,21.43,54.12,28.73,53.88,11.9,25.59,0.4,30.94,9.41,42726,26.11,16.37,2.43,14.39,1.21,0.14,29.13,52.7,50.09,37.63,West
Arizona,2011,Arizona2011,Male,Prostate,3196,89.4,577,18.98,0.212,3218148,17.84,3.79,3.67,7.23,18.61,27.78,24.09,16.02,20.28,54.12,16.83,58.21,12.56,30.15,0.4,30.5,9.96,40757,26.11,16.37,2.43,14.39,1.21,0.14,29.13,52.7,50.09,37.63,West
Arizona,2012,Arizona2012,Male,Prostate,2852,77.38,588,18.46,0.239,3259698,18.23,3.86,3.73,7.3,18.38,27.6,23.86,16.03,20.14,51.64,19.55,59.12,12.16,31.77,11.95,31.11,9.85,40339,24.95,16.82,1.99,13.84,1.44,0.19,30.07,52.66,49.68,32.61,West
Arizona,2013,Arizona2013,Male,Prostate,3006,78.7,576,17.54,0.223,3297562,18.25,3.96,3.89,7.27,18.49,27.81,23.67,15.44,20.54,51.48,57.38,56.24,11.41,30.76,9.91,19.97,10.08,41641,24.51,17.74,1.73,14.55,1.33,0.19,30.03,52.42,49.61,34.11,West
Arizona,2014,Arizona2014,Male,Prostate,3416,86.35,616,17.68,0.205,3347316,18.25,3.96,3.89,7.27,18.49,27.95,22.89,15.44,22.14,51.77,82.37,54.98,11.34,30.8,9.91,20.61,10.46,42311,24.13,18.39,1.83,14.72,1.42,0.2,30.33,51.74,49.61,34.11,West
Arizona,2015,Arizona2015,Male,Prostate,3507,84.92,643,17.34,0.204,3397442,19.83,4.11,3.95,7.23,17.74,27.44,23.41,15.65,20.73,52.72,84.96,55.4,9.62,28.86,9.91,20.95,11.75,43058,23.83,18.98,1.93,14.76,1.45,0.2,30.61,51.3,49.64,34.11,West
Arizona,2016,Arizona2016,Male,Prostate,3344,78.64,702,18.38,0.234,3452321,20.21,4.3,4.27,7.12,17.51,28.77,22.52,15.52,17.55,51.09,86.49,55.37,8.8,28.83,6.69,20.61,11.09,44017,23.53,19.65,1.98,14.81,1.49,0.2,30.8,50.97,49.66,34.11,West
Arizona,2017,Arizona2017,Male,Prostate,3737,84.92,663,16.54,0.195,3502772,20.3,4.53,4.26,7.13,16.72,28.25,23.39,15.83,13.92,50.3,91.11,55.37,28.39,6.69,20.03,20.03,11.1,45738,23.35,20.2,1.88,15.11,1.48,0.2,30.91,50.68,49.7,34.11,West
Arizona,2018,Arizona2018,Male,Prostate,3612,78.53,696,16.62,0.212,3560169,20.3,4.53,4.26,7.22,16.72,29.27,23.3,15.83,13.29,50.65,93.69,35.0,6.78,27.04,6.91,19.75,11.68,47106,22.98,20.71,1.89,15.08,1.54,0.2,31.29,50.31,49.67,34.11,West
Arizona,2019,Arizona2019,Male,Prostate,3697,77.89,735,16.69,0.214,3622802,18.56,4.02,4.04,7.19,15.56,27.5,21.8,16.71,12.1,66.46,133.36,41.0,4.83,20.4,5.8,18.46,9.7,59079,22.9,17.54,4.38,5.3,3.68,0.28,31.6,54.42,50.29,10.19,West
Arizona,2020,Arizona2020,Male,Prostate,3125,63.23,795,17.31,0.274,3685926,18.62,4.19,4.03,7.25,14.49,27.9,21.2,18.13,12.8,65.65,140.19,40.0,4.7,19.2,6.3,18.02,9.6,62027,22.53,17.98,4.48,5.3,3.69,0.28,31.74,54.13,50.3,10.19,West
Arkansas,2010,Arkansas2010,Male,Prostate,2298,141.68,303,23.32,0.165,1434725,20.98,4.41,4.02,9.22,24.66,31.32,32.06,11.26,23.61,52.08,8.02,56.57,8.06,28.87,0.15,27.66,11.31,34994,23.59,16.41,16.27,0.7,0.58,0.03,4.62,77.79,50.83,65.89,South
Arkansas,2011,Arkansas2011,Male,Prostate,2286,138.79,294,21.95,0.158,1444411,20.93,4.44,4.12,9.27,24.06,33.18,32.63,10.62,21.08,52.79,2.37,59.05,8.69,31.61,0.15,25.86,11.91,34925,23.59,16.41,16.27,0.7,0.58,0.03,4.62,77.79,50.83,65.89,South
Arkansas,2012,Arkansas2012,Male,Prostate,1987,118.03,291,21.24,0.18,1450467,21.27,4.42,4.14,9.42,23.23,33.17,32.61,10.77,21.73,47.25,13.75,58.33,8.95,32.11,11.84,25.98,11.9,35305,23.29,16.93,15.82,0.84,0.71,0.09,4.82,76.56,50.63,64.59,South
Arkansas,2013,Arkansas2013,Male,Prostate,1794,105.01,271,19.34,0.184,1453888,22.17,4.53,4.28,9.41,24.43,33.62,32.7,12.39,20.98,46.75,93.61,55.24,8.22,32.7,11.75,13.88,12.45,35727,23.13,17.47,15.85,0.81,0.69,0.08,4.72,76.71,50.61,64.87,South
Arkansas,2014,Arkansas2014,Male,Prostate,1922,107.61,268,18.58,0.173,1457950,22.17,4.53,4.28,9.28,24.43,34.14,32.82,12.39,20.63,47.29,115.66,54.74,8.46,33.2,11.75,13.99,12.75,36518,22.93,17.88,15.88,0.86,0.76,0.1,5.01,76.15,50.58,64.87,South
Arkansas,2015,Arkansas2015,Male,Prostate,2117,117.8,290,19.43,0.165,1463916,23.01,4.87,4.36,9.2,23.1,34.99,34.13,13.72,19.93,47.73,121.83,55.64,6.99,30.57,11.75,14.07,13.15,37578,22.71,18.34,15.91,0.88,0.78,0.11,5.11,75.93,50.54,64.87,South
Arkansas,2016,Arkansas2016,Male,Prostate,2063,113.24,279,18.26,0.161,1469966,23.43,4.8,4.33,9.12,20.84,35.9,33.87,12.8,14.32,47.13,131.71,55.26,6.02,31.21,10.05,14.21,13.31,38593,22.58,18.7,15.96,0.91,0.82,0.11,5.21,75.68,50.55,64.87,South
Arkansas,2017,Arkansas2017,Male,Prostate,2258,121.43,267,17.18,0.141,1475907,23.17,4.9,4.92,9.05,20.91,36.12,35.05,13.84,11.54,46.34,138.41,55.26,29.2,10.05,14.07,14.07,13.85,39234,22.49,19.0,16.03,0.89,0.83,0.13,5.32,75.47,50.53,64.87,South
Arkansas,2018,Arkansas2018,Male,Prostate,2430,127.67,298,18.57,0.145,1479090,23.17,4.9,4.92,8.98,20.91,36.47,33.96,13.84,9.67,46.96,143.75,33.36,4.25,28.11,10.02,14.0,14.55,40721,22.4,19.39,16.04,0.91,0.86,0.14,5.51,75.19,50.51,64.87,South
Arkansas,2019,Arkansas2019,Male,Prostate,2191,113.82,341,20.62,0.181,1482909,23.2,5.15,5.36,8.99,22.29,34.2,31.6,15.81,9.3,66.57,226.29,37.0,3.7,23.8,10.0,14.32,13.4,47094,23.33,16.98,15.42,1.0,1.67,0.36,7.74,72.22,50.89,43.84,South
Arkansas,2020,Arkansas2020,Male,Prostate,1596,81.5,311,18.29,0.224,1486856,23.27,4.82,5.28,9.07,23.71,35.0,30.4,17.25,9.61,66.36,236.36,38.0,3.55,21.7,9.1,14.05,13.5,49020,23.2,17.36,15.42,1.02,1.67,0.39,7.84,72.03,50.9,43.84,South
California,2010,California2010,Male,Prostate,22856,133.74,3065,21.19,0.158,18546274,17.04,3.87,3.87,6.19,14.83,24.26,18.55,17.98,21.81,78.32,53.95,62.61,12.79,19.45,8.52,44.13,7.61,54453,23.92,13.54,3.69,2.71,6.56,0.32,27.56,59.16,49.15,30.16,West
California,2011,California2011,Male,Prostate,22896,129.27,3072,20.66,0.16,18694789,17.48,3.85,3.77,6.27,14.26,24.66,18.49,17.91,18.83,81.12,44.42,64.43,14.1,22.43,8.52,43.24,7.93,51610,23.92,13.54,3.69,2.71,6.56,0.32,27.56,59.16,49.15,30.16,West
California,2012,California2012,Male,Prostate,19950,108.56,2978,19.44,0.179,18847274,17.66,3.77,3.69,6.26,14.45,24.64,18.49,17.8,18.94,66.57,46.95,63.92,13.39,23.34,11.36,43.42,7.92,51676,23.3,14.09,3.18,3.05,7.22,0.37,29.16,56.24,49.37,28.29,West
California,2013,California2013,Male,Prostate,19403,102.53,3122,19.69,0.192,18996586,18.17,3.91,3.84,6.28,14.97,24.22,17.61,18.77,18.96,67.38,155.64,61.01,12.25,23.67,8.8,24.4,8.08,52687,23.04,14.8,3.08,3.05,7.13,0.37,28.85,56.74,49.37,28.7,West
California,2014,California2014,Male,Prostate,17614,90.09,3208,19.65,0.218,19164689,18.17,3.91,3.84,6.27,14.97,23.9,17.12,18.77,18.84,68.42,266.32,60.87,10.34,23.57,8.8,24.72,8.42,54235,22.81,15.41,3.04,3.14,7.33,0.39,29.53,55.77,49.42,28.7,West
California,2015,California2015,Male,Prostate,18622,92.62,3339,19.69,0.213,19328315,16.18,3.87,3.77,6.32,13.34,24.12,16.93,18.13,18.41,69.91,281.01,60.7,8.87,22.41,8.8,24.53,10.09,56049,22.52,15.96,3.05,3.16,7.5,0.39,29.84,55.22,49.52,28.7,West
California,2016,California2016,Male,Prostate,19189,92.71,3607,20.68,0.223,19453155,16.72,3.95,3.81,6.38,12.68,24.13,17.81,18.46,13.31,70.64,299.19,60.19,7.55,22.25,8.64,24.3,8.77,57651,22.33,16.49,3.04,3.14,7.64,0.4,30.13,54.79,49.52,28.7,West
California,2017,California2017,Male,Prostate,21093,99.17,3468,19.28,0.194,19553823,16.65,3.7,3.8,6.44,12.53,24.18,18.38,18.67,8.97,69.28,316.4,60.19,20.39,8.64,24.15,24.15,8.6,60930,22.24,16.97,3.0,3.14,7.69,0.4,30.39,54.47,49.53,28.7,West
California,2018,California2018,Male,Prostate,20679,95.37,3722,20.24,0.212,19607822,16.65,3.7,3.8,6.56,12.53,24.17,18.39,18.67,7.72,69.26,333.17,37.12,6.02,19.41,10.14,23.48,8.8,64209,22.05,17.46,3.01,3.15,7.88,0.4,30.71,53.94,49.51,28.7,West
California,2019,California2019,Male,Prostate,22418,100.96,3623,19.14,0.19,19608525,17.22,3.53,3.49,6.82,11.34,23.6,17.6,19.22,8.21,79.28,353.26,36.0,4.2,17.4,9.5,26.86,8.6,75250,22.73,14.33,5.62,1.65,15.33,0.51,39.29,36.83,50.29,5.05,West
California,2020,California2020,Male,Prostate,19938,88.58,3824,19.7,0.222,19577489,17.61,3.86,3.73,6.88,11.47,24.3,17.7,18.13,8.34,79.78,373.39,36.0,4.04,15.6,8.1,26.44,8.8,80423,22.51,14.78,5.62,1.64,15.47,0.51,39.42,36.5,50.28,5.05,West
Colorado,2010,Colorado2010,Male,Prostate,3226,133.17,396,22.0,0.165,2529590,12.55,3.31,3.2,9.38,18.22,18.98,17.42,17.26,23.76,69.72,56.43,64.2,6.91,17.62,0.09,32.73,5.62,49949,22.18,13.58,1.83,1.68,1.03,0.1,18.83,76.54,48.39,61.17,West
Colorado,2011,Colorado2011,Male,Prostate,3239,127.51,416,22.63,0.177,2566778,12.95,3.22,3.19,9.46,17.48,20.2,19.23,17.11,20.82,74.37,26.77,63.64,8.31,19.9,0.09,31.55,6.0,48575,22.18,13.58,1.83,1.68,1.03,0.1,18.83,76.54,48.39,61.17,West
Colorado,2012,Colorado2012,Male,Prostate,2837,107.79,431,22.18,0.206,2603488,12.99,3.1,3.03,9.57,17.19,20.19,19.19,16.91,20.78,74.21,34.89,62.8,7.68,21.44,9.06,32.22,5.99,49062,21.67,14.83,1.53,1.91,1.2,0.11,19.24,75.76,48.09,57.99,West
Colorado,2013,Colorado2013,Male,Prostate,2882,104.91,426,21.01,0.2,2643323,14.5,3.26,3.09,9.58,17.95,20.68,18.62,17.91,19.88,72.36,106.16,59.34,7.58,22.02,12.66,16.15,6.31,49646,21.29,15.84,1.44,1.88,1.16,0.1,19.14,76.07,48.04,58.68,West
Colorado,2014,Colorado2014,Male,Prostate,2681,94.89,437,20.95,0.221,2687056,14.5,3.26,3.09,9.62,17.95,20.94,17.55,17.91,19.19,73.37,167.27,57.66,6.67,21.38,12.66,16.43,6.68,51049,21.07,16.52,1.5,2.05,1.24,0.11,19.47,75.43,48.09,58.68,West
Colorado,2015,Colorado2015,Male,Prostate,2612,86.98,465,20.77,0.239,2741296,12.87,3.28,3.18,9.54,14.93,20.69,17.53,18.01,19.36,75.81,180.85,57.17,5.19,20.59,12.66,16.88,8.09,52402,20.87,17.23,1.55,2.07,1.31,0.12,19.61,75.11,48.05,58.68,West
Colorado,2016,Colorado2016,Male,Prostate,2713,89.82,511,22.72,0.253,2788777,13.5,3.36,3.37,9.74,15.29,20.68,16.86,17.54,13.71,72.96,191.43,57.55,4.02,20.78,5.83,16.71,6.48,53811,20.68,17.81,1.59,2.09,1.36,0.13,19.8,74.76,48.0,58.68,West
Colorado,2017,Colorado2017,Male,Prostate,2966,94.56,509,21.76,0.23,2827772,14.08,3.39,3.54,9.77,14.93,21.22,17.55,18.65,11.05,68.45,199.13,57.55,19.22,5.83,16.71,16.71,6.44,54557,20.53,18.25,1.65,2.12,1.37,0.13,19.72,74.69,48.01,58.68,West
Colorado,2018,Colorado2018,Male,Prostate,3263,100.63,504,20.51,0.204,2868175,14.08,3.39,3.54,9.62,14.93,21.68,16.18,18.65,10.43,70.35,209.38,35.48,2.83,18.15,5.36,16.24,6.92,57334,20.38,18.79,1.62,2.13,1.39,0.13,19.88,74.51,48.08,58.68,West
Colorado,2019,Colorado2019,Male,Prostate,3561,106.28,528,20.3,0.191,2900876,14.47,3.45,3.85,8.98,14.63,21.8,15.5,20.47,8.67,82.0,355.63,41.0,3.28,12.1,5.05,16.53,6.3,71949,22.21,14.19,4.02,1.6,3.47,0.19,21.69,67.92,49.65,13.85,West
Colorado,2020,Colorado2020,Male,Prostate,3372,99.81,625,23.87,0.239,2925887,13.79,3.29,3.71,9.06,14.67,22.4,14.8,21.28,8.77,82.56,371.96,41.0,2.75,11.2,4.9,16.37,6.6,77104,21.87,14.63,4.06,1.61,3.52,0.2,21.83,67.66,49.62,13.85,West
Connecticut,2010,Connecticut2010,Male,Prostate,2820,144.67,352,20.53,0.142,1742350,10.85,3.06,3.11,7.43,17.51,22.98,21.41,18.19,12.11,97.16,67.0,70.25,8.03,10.21,2.13,37.34,7.68,68585,22.14,13.79,7.14,0.4,2.96,0.06,8.98,80.46,50.85,25.0,Northeast
Connecticut,2011,Connecticut2011,Male,Prostate,2756,137.06,345,19.69,0.144,1747728,10.65,2.99,3.1,7.53,16.76,23.64,22.13,17.99,9.64,97.16,54.35,72.59,8.93,11.21,2.13,37.73,7.75,65230,22.14,13.79,7.14,0.4,2.96,0.06,8.98,80.46,50.85,25.0,Northeast
Connecticut,2012,Connecticut2012,Male,Prostate,2336,113.44,303,17.06,0.15,1751542,10.67,2.97,3.08,7.62,16.0,23.58,22.18,18.44,9.77,73.0,61.88,71.93,8.59,12.7,10.36,38.19,7.75,66976,21.74,14.41,6.74,0.47,3.42,0.09,10.6,77.46,50.88,22.82,Northeast
Connecticut,2013,Connecticut2013,Male,Prostate,2280,108.11,322,17.67,0.163,1752602,10.51,3.01,3.06,7.58,15.59,24.35,22.21,18.71,9.29,72.13,190.61,68.77,8.2,12.61,10.48,16.53,8.29,67413,21.24,14.99,6.37,0.47,3.37,0.09,10.22,78.24,50.85,24.17,Northeast
Connecticut,2014,Connecticut2014,Male,Prostate,2221,103.05,324,17.47,0.17,1753445,10.51,3.01,3.06,7.55,15.59,25.03,21.08,18.71,9.69,73.32,259.91,68.0,7.61,12.78,10.48,16.78,8.53,67760,20.94,15.41,6.49,0.5,3.55,0.09,10.85,77.22,50.83,24.17,Northeast
Connecticut,2015,Connecticut2015,Male,Prostate,2498,113.38,327,17.06,0.15,1750359,11.05,2.8,3.36,7.51,13.7,24.96,21.45,19.13,10.06,73.3,279.4,67.38,6.44,13.19,10.48,17.11,8.26,70415,20.59,15.81,6.59,0.5,3.69,0.1,11.19,76.62,50.82,24.17,Northeast
Connecticut,2016,Connecticut2016,Male,Prostate,2641,117.64,346,18.11,0.154,1745932,12.51,3.2,3.57,7.39,13.48,25.59,20.21,19.39,7.2,73.25,298.22,68.77,5.49,13.14,8.23,17.02,8.48,72445,20.25,16.23,6.66,0.52,3.8,0.1,11.5,76.09,50.83,24.17,Northeast
Connecticut,2017,Connecticut2017,Male,Prostate,2858,125.24,373,19.07,0.152,1743821,11.33,3.01,3.54,7.35,12.76,25.7,20.44,19.55,5.97,72.59,315.97,68.77,11.88,8.23,16.99,16.99,8.41,74290,20.01,16.67,6.69,0.52,3.87,0.1,11.75,75.71,50.79,24.17,Northeast
Connecticut,2018,Connecticut2018,Male,Prostate,2896,125.1,339,17.11,0.137,1743201,11.33,3.01,3.54,7.37,12.76,26.45,19.23,19.55,5.03,71.95,334.02,47.38,4.53,11.45,8.2,16.86,8.63,74721,19.68,17.33,6.74,0.53,3.98,0.1,12.07,75.21,50.77,24.17,Northeast
Connecticut,2019,Connecticut2019,Male,Prostate,3143,133.06,385,18.82,0.141,1739032,13.8,3.29,3.47,7.82,12.73,25.8,20.4,17.11,6.27,83.19,393.24,48.0,4.11,13.8,8.0,18.14,8.9,76366,20.58,17.22,10.21,0.56,4.86,0.11,16.51,66.51,51.2,12.01,Northeast
Connecticut,2020,Connecticut2020,Male,Prostate,2680,111.86,367,17.62,0.158,1734920,12.99,3.3,3.79,7.8,12.54,26.3,19.9,20.47,6.21,84.5,413.29,46.0,3.73,13.5,7.2,17.8,9.2,78920,20.4,17.68,10.35,0.58,4.95,0.11,16.86,65.92,51.21,12.01,Northeast
Delaware,2010,Delaware2010,Male,Prostate,801,157.5,85,20.1,0.128,435673,13.67,3.43,3.43,9.02,21.43,29.5,24.83,18.13,15.63,69.31,39.94,69.07,8.03,16.1,4.0,33.37,10.17,55402,23.27,15.6,20.0,0.47,2.3,0.1,6.6,70.53,51.53,31.37,South
Delaware,2011,Delaware2011,Male,Prostate,828,159.04,96,22.35,0.141,439347,13.6,3.47,3.43,8.9,20.8,29.73,25.43,18.07,13.03,69.31,30.03,70.86,8.43,19.6,4.0,34.16,10.33,53316,23.27,15.6,20.0,0.47,2.3,0.1,6.6,70.53,51.53,31.37,South
Delaware,2012,Delaware2012,Male,Prostate,797,147.64,84,19.39,0.131,443394,13.15,3.43,3.35,8.8,19.65,29.45,25.06,18.73,11.95,65.98,30.41,70.78,7.33,20.2,11.83,35.09,10.05,55838,22.53,15.61,20.04,0.77,2.8,0.09,8.05,66.67,51.51,22.39,South
Delaware,2013,Delaware2013,Male,Prostate,743,133.43,70,15.39,0.115,447252,13.43,3.43,3.37,8.63,19.13,30.13,25.5,18.53,11.66,63.92,125.89,69.16,7.2,21.77,11.9,15.5,10.6,54155,22.3,16.6,19.79,0.82,2.63,0.09,7.96,67.09,51.55,24.29,South
Delaware,2014,Delaware2014,Male,Prostate,705,120.89,91,19.08,0.158,451683,13.43,3.43,3.37,8.51,19.13,29.77,25.03,18.53,10.65,63.33,167.08,69.81,6.75,20.57,11.9,16.01,10.57,55684,21.91,17.29,19.94,0.81,2.79,0.1,8.36,66.3,51.61,24.29,South
Delaware,2015,Delaware2015,Male,Prostate,762,126.5,76,14.82,0.117,456021,14.7,3.5,3.6,8.37,17.6,30.4,25.93,16.33,11.48,65.26,180.36,70.33,5.88,20.77,11.9,15.93,11.37,57406,21.75,17.85,19.99,0.8,2.89,0.11,8.53,65.93,51.63,24.29,South
